Project,Type,Milestone,Date,RAG,Director Ask,Director Deadline
Project Beta,Quad,Performance Tuning,16/02/2025,Red,Review,20210410.0
Project Epsilon,Quad,Testing,03/10/2024,Red,Review,20211125.0
Project Alpha,Quad,Requirement Gathering,05/12/2024,Green,Please unblock,20220921.0
Project Zeta,Quad,Performance Tuning,04/02/2023,Green,Follow up,20240805.0
Project Theta,Quad,Deployment,17/07/2025,Amber,Please unblock,20220613.0
Project Beta,Quad,Documentation,13/06/2023,Amber,Please unblock,20230101.0
Project Delta,Bi,Development,27/08/2023,Red,Follow up,20210909.0
Project Kappa,Quad,Testing,06/07/2023,Red,Follow up,20220414.0
Project Theta,Bi,Security Audit,21/07/2023,Red,Clarify,20210206.0
Project Beta,Quad,Documentation,28/09/2025,Green,Follow up,20240203.0
Project Kappa,Quad,Development,26/04/2025,Amber,Clarify,20250916.0
Project Zeta,Quad,Bug Fixing,02/04/2025,Green,Clarify,20250101.0
Project Kappa,Bi,Development,27/01/2024,Red,Approve,20241225.0
Project Theta,Quad,Development,24/12/2025,Amber,Follow up,20251021.0
Project Beta,Quad,Performance Tuning,25/12/2025,Amber,Follow up,20240826.0
Project Delta,Quad,Testing,27/02/2023,Amber,Review,20220118.0
Project Epsilon,Quad,Testing,19/10/2023,Red,Follow up,20201130.0
Project Beta,Bi,Testing,17/05/2023,Amber,Please unblock,20240104.0
Project Gamma,Bi,Security Audit,02/09/2024,Green,Follow up,20230127.0
Project Kappa,Bi,Security Audit,03/09/2024,Green,Clarify,20250925.0
Project Kappa,Bi,Security Audit,04/03/2025,Green,Please unblock,20201012.0
Project Eta,Quad,Bug Fixing,07/04/2023,Red,Clarify,20240303.0
Project Iota,Bi,Development,26/01/2025,Red,Approve,20210808.0
Project Iota,Bi,Deployment,19/07/2025,Amber,Follow up,20220125.0
Project Kappa,Quad,Testing,07/08/2024,Amber,Review,20240808.0
Project Iota,Bi,User Training,23/02/2025,Amber,Follow up,20210814.0
Project Iota,Quad,Development,22/06/2024,Red,Review,20200728.0
Project Zeta,Bi,Performance Tuning,25/07/2024,Amber,Please unblock,20201204.0
Project Epsilon,Bi,Performance Tuning,23/10/2024,Red,Follow up,20250204.0
Project Iota,Quad,Documentation,25/05/2025,Amber,Follow up,20251230.0
Project Alpha,Bi,Security Audit,06/09/2024,Amber,Review,20231017.0
Project Epsilon,Bi,Testing,01/02/2023,Amber,Clarify,20230512.0
Project Gamma,Bi,Bug Fixing,23/07/2024,Red,Clarify,20231022.0
Project Beta,Bi,Security Audit,05/08/2024,Green,Clarify,20211116.0
Project Kappa,Bi,Testing,15/01/2025,Amber,Follow up,20220127.0
Project Iota,Quad,Development,01/10/2023,Green,Clarify,20230515.0
Project Zeta,Quad,Testing,13/01/2025,Red,Please unblock,20210117.0
Project Kappa,Quad,Development,26/05/2023,Green,Approve,20240623.0
Project Iota,Quad,Requirement Gathering,13/11/2024,Amber,Follow up,20201202.0
Project Theta,Bi,Development,22/08/2023,Red,Clarify,20250403.0
Project Alpha,Bi,Requirement Gathering,15/09/2025,Green,Approve,20240606.0
Project Zeta,Quad,User Training,28/03/2025,Green,Approve,20221111.0
